epoch,train_hess_mean,train_hess_min,train_loss
1,0.49941465,0.49791014,0.06971682
2,0.49824685,0.49706635,0.01624396
3,0.49708274,0.4959707,0.012487689
4,0.49591792,0.49484357,0.011327239
5,0.49475792,0.4937057,0.01064907
6,0.49360034,0.49255118,0.010189481
7,0.4924439,0.49140307,0.009846745
8,0.49129307,0.49025285,0.009613168
9,0.49014193,0.48910666,0.009363289
10,0.48899543,0.48796332,0.009235611
11,0.48785123,0.48681912,0.009056288
12,0.48670852,0.48568347,0.008938782
13,0.4855705,0.4845484,0.00872555
14,0.4844337,0.48341283,0.008593698
15,0.4832994,0.48228577,0.008615608
16,0.48216915,0.4811585,0.0084868865
17,0.48104012,0.4800332,0.008376032
18,0.47991428,0.4789131,0.008327386
19,0.47879207,0.4777933,0.008238964
20,0.47766992,0.47667736,0.0080995485
21,0.4765533,0.47556388,0.008010734
22,0.47543752,0.47445247,0.008027037
23,0.47432405,0.47334337,0.008010734
24,0.47321573,0.4722363,0.007876665
25,0.47210637,0.47113386,0.007870406
26,0.47100258,0.4700345,0.007754204
27,0.46990046,0.46893275,0.0077256425
28,0.46879938,0.46783724,0.0077196434
29,0.4677036,0.46674347,0.0077231647
30,0.46660843,0.4656489,0.007704906
31,0.46551606,0.4645635,0.0076603037
32,0.46442747,0.46347532,0.0076523484
33,0.46333987,0.46239138,0.0075263656
34,0.4622554,0.46131214,0.0075378423
35,0.46117416,0.46023318,0.007455549
36,0.46009395,0.45916024,0.007455549
37,0.45901772,0.4580917,0.007448637
38,0.45794433,0.45701978,0.007433378
39,0.45687076,0.4559542,0.007313525
40,0.4558027,0.45489255,0.0072943536
41,0.4547359,0.45382854,0.0073496504
42,0.4536703,0.45276833,0.007266053
43,0.45261046,0.45170957,0.0072798776
44,0.45155025,0.45065314,0.007324219
45,0.45049286,0.44960144,0.007254837
46,0.44943982,0.44855145,0.0071874117
47,0.44838658,0.4475015,0.007170979
48,0.4473379,0.44645542,0.0071469825
49,0.4462916,0.44540927,0.0071746306
50,0.4452457,0.44437104,0.0071023796
51,0.4442044,0.44333452,0.007126898
52,0.44316518,0.442298,0.007088425
53,0.44212702,0.44126612,0.007072775
54,0.44109318,0.440238,0.007083991
55,0.4400611,0.43920723,0.007045518
56,0.43902975,0.4381792,0.006939489
57,0.43800333,0.43715724,0.006976527
58,0.43697876,0.43613312,0.0069820047
59,0.43595445,0.43511704,0.0069737886
60,0.43493545,0.43410093,0.0069465316
61,0.4339175,0.43308404,0.0068933214
62,0.43290058,0.43207228,0.006860065
63,0.43188933,0.43106326,0.0068451976
64,0.43087786,0.43005535,0.0068505444
65,0.42986804,0.42905533,0.0068655424
66,0.42886388,0.42805472,0.0067792065
67,0.4278595,0.4270565,0.006837503
68,0.42685744,0.42606115,0.006773729
69,0.42585966,0.4250639,0.006824722
70,0.42486218,0.42407003,0.006806333
71,0.42386746,0.42308265,0.0066888276
72,0.42287675,0.42209303,0.0067299088
73,0.42188635,0.42110655,0.0067231273
74,0.42089808,0.42012528,0.0066778725
75,0.4199144,0.41914544,0.0065711914
76,0.4189315,0.41816562,0.006658962
77,0.4179498,0.41719356,0.006675003
78,0.41697282,0.41622084,0.006599492
79,0.41599703,0.41524562,0.0065662353
80,0.41502196,0.4142755,0.0065831896
81,0.4140523,0.41330636,0.0065132864
82,0.41308302,0.41233763,0.0065267193
83,0.41211474,0.41137403,0.006554498
84,0.4111522,0.41041198,0.006504418
85,0.41018948,0.40945008,0.006554889
86,0.4092277,0.4084929,0.006512634
87,0.40827203,0.40753734,0.006447947
